country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
World,1880,,1415841209,,0,0,853.916,97.926,12.953,4227.557,140.953,3.449,2.986,,,0.603,,,838.524,0.592,,,,0,18639.336,104200.164,18542.238,,,90133.492,97.099,,,,,,,,,,3373.64,2.383,,,,,15.392,0.011,,,,100,100,100,100,100,100,100,100,,,100,100,,,,100,100,,100,0.015,0.046,0.063,0.002,,,,
World,1881,,1423704727,,0,0,883.544,29.628,3.47,4223.011,-4.545,-0.108,2.966,,,0.621,,,866.278,0.608,,,,0,19522.879,108423.188,19408.516,,,93472.961,114.365,,,,,,,,,,3339.467,2.346,,,,,17.266,0.012,,,,100,100,100,100,100,100,100,100,,,100,100,,,,100,100,,100,0.016,0.048,0.066,0.002,,,,
World,1882,,1433553127,,0,0,933.36,49.816,5.638,4338.779,115.768,2.741,3.027,,,0.651,,,914.231,0.638,,,,0.001,20456.24,112761.961,20322.746,,0.165,96878.375,133.329,,,,,,0.165,0,,,3405.419,2.376,,,,,18.964,0.013,,,,100,100,100,100,100,100,100,100,,100,100,100,,,100,100,100,,100,0.016,0.049,0.068,0.003,,,,
World,1883,,1444009167,,0,0,992.754,59.393,6.363,4468.314,129.535,2.986,3.094,,,0.687,,,975.842,0.676,,,,0.001,21448.994,117230.273,21298.588,,0.546,100353.938,149.859,,,,,,0.381,0,,,3475.561,2.407,,,,,16.53,0.011,,,,100,100,100,100,100,100,100,100,,100,100,100,,,100,100,100,,100,0.017,0.051,0.071,0.003,,,,
World,1884,,1454595037,,0,0,1004.134,11.38,1.146,4487.73,19.417,0.435,3.085,,,0.69,,,984.619,0.677,,,,0.001,22453.129,121718.008,22283.209,,1.718,103837.539,168.201,,,,,,1.172,0.001,,,3483.597,2.395,,,,,18.342,0.013,,,,100,100,100,100,100,100,100,100,,100,100,100,,,100,100,100,,100,0.018,0.054,0.074,0.003,,,,
World,1885,,1465369425,,0,0,1011.637,7.503,0.747,4489.396,1.666,0.037,3.064,,,0.69,,,988.945,0.675,,,,0.002,23464.766,126207.398,23272.152,,5.434,107315.297,187.177,,,,,,3.715,0.003,,,3477.759,2.373,,,,,18.976,0.013,,,,100,100,100,100,100,100,100,100,,100,100,100,,,100,100,100,,100,0.018,0.056,0.077,0.003,,,,
World,1886,,1476245076,,0,0,1027.417,15.78,1.56,4553.248,63.852,1.422,3.084,,,0.696,,,997.9,0.676,,,,0.002,24492.184,130760.648,24270.053,,13.11,110841.125,209.018,,,,,,7.676,0.005,,,3525.83,2.388,,,,,21.841,0.015,,,,100,100,100,100,100,100,100,100,,100,100,100,,,100,100,100,,100,0.019,0.058,0.08,0.003,,,,
World,1887,,1487277339,,0.001,0,1078.747,51.329,4.996,4662.31,109.062,2.395,3.135,,,0.725,,,1043.464,0.702,,,,0.003,25570.93,135422.953,25313.518,,24.897,114424.695,232.514,,,,,,11.787,0.008,,,3583.563,2.409,,,,,23.495,0.016,,,,100,100,100,100,100,100,100,100,,100,100,100,,,100,100,100,,100,0.02,0.06,0.083,0.003,,,,
World,1888,,1498437207,,0.001,0,1194.353,115.606,10.717,4787.32,125.01,2.681,3.195,,,0.797,,,1152.984,0.769,,,,0.003,26765.283,140210.281,26466.5,,41.671,118017.664,257.107,,,,,,16.774,0.011,,,3592.968,2.398,,,,,24.594,0.016,,,,100,100,100,100,100,100,100,100,,100,100,100,,,100,100,100,,100,0.021,0.062,0.086,0.003,,,,
World,1889,,1509373834,,0.001,0,1194.624,0.271,0.023,4779.677,-7.643,-0.16,3.167,,,0.791,,,1153.973,0.765,,,,0.004,27959.906,144989.969,27620.475,,53.897,121602.711,285.531,,,,,,12.227,0.008,,,3585.053,2.375,,,,,28.424,0.019,,,,100,100,100,100,100,100,100,100,,100,100,100,,,100,100,100,,100,0.021,0.064,0.089,0.003,,,,
World,1890,,1521669265,,0.001,0,1300.362,105.738,8.851,5149.284,369.608,7.733,3.384,,,0.855,,,1254.006,0.824,,,,0.004,29260.27,150139.234,28874.482,,65.585,125451.633,320.198,,,,,,11.688,0.008,,,3848.922,2.529,,,,,34.667,0.023,,,,100,100,100,100,100,100,100,100,,100,100,100,,,100,100,100,,100,0.022,0.066,0.092,0.003,,,,
World,1891,,1530611585,,0.001,0,1361.75,61.388,4.721,5317.637,168.352,3.269,3.474,,,0.89,,,1311.956,0.857,,,,0.005,30622.02,155456.875,30186.438,,74.533,129407.516,361.044,,,,,,8.947,0.006,,,3955.886,2.585,,,,,40.846,0.027,,,,100,100,100,100,100,100,100,100,,100,100,100,,,100,100,100,,100,0.023,0.069,0.095,0.004,,,,
